CodeSystem,ConceptCode,ConceptName
ICD10CM,O24.83,Other pre-existing diabetes mellitus in the puerperium
ICD9CM,250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
ICD10CM,O24.33,Unspecified pre-existing diabetes mellitus in the puerperium
ICD9CM,250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
ICD10CM,O24.82,Other pre-existing diabetes mellitus in childbirth
ICD9CM,250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
ICD10CM,O24.32,Unspecified pre-existing diabetes mellitus in childbirth
SNOMED CT,237604008,"Maturity onset diabetes of the young, type 2"
ICD10CM,O24.819,"Other pre-existing diabetes mellitus in pregnancy, unspecified trimester"
SNOMED CT,237599002,Insulin treated type 2 diabetes mellitus
ICD10CM,O24.319,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester"
SNOMED CT,23045005,Insulin dependent diabetes mellitus type 1A
ICD10CM,O24.813,"Other pre-existing diabetes mellitus in pregnancy, third trimester"
SNOMED CT,199230006,Pre-existing type 2 diabetes mellitus
ICD10CM,O24.313,"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester"
SNOMED CT,199229001,Pre-existing type 1 diabetes mellitus
ICD10CM,O24.812,"Other pre-existing diabetes mellitus in pregnancy, second trimester"
SNOMED CT,190389009,Type 2 diabetes mellitus with ulcer
ICD10CM,O24.312,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
SNOMED CT,190372001,Type 1 diabetes mellitus maturity onset
ICD10CM,O24.811,"Other pre-existing diabetes mellitus in pregnancy, first trimester"
SNOMED CT,190368000,Type 1 diabetes mellitus with ulcer
ICD10CM,O24.311,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester"
SNOMED CT,190331003,Hyperosmolar coma due to type 2 diabetes mellitus
ICD10CM,E10.3539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
SNOMED CT,190330002,Hyperosmolar coma due to type 1 diabetes mellitus
ICD10CM,O24.13,"Pre-existing type 2 diabetes mellitus, in the puerperium"
SNOMED CT,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus
ICD10CM,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
SNOMED CT,1511000119107,Peripheral neuropathy due to type 2 diabetes mellitus
ICD10CM,O24.12,"Pre-existing type 2 diabetes mellitus, in childbirth"
SNOMED CT,1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus
ICD10CM,E10.341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
SNOMED CT,1481000119100,Diabetes mellitus type 2 without retinopathy
ICD10CM,O24.119,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester"
SNOMED CT,138941000119105,Severe nonproliferative retinopathy due to diabetes mellitus type 2
ICD10CM,E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
SNOMED CT,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
ICD10CM,O24.113,"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester"
SNOMED CT,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
ICD10CM,E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
SNOMED CT,138901000119108,Severe nonproliferative retinopathy due to diabetes mellitus type 1
ICD10CM,O24.112,"Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester"
SNOMED CT,138891000119109,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus
ICD10CM,E10.3531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
SNOMED CT,138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus
ICD10CM,O24.111,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester"
SNOMED CT,110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus
ICD10CM,E10.3529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
SNOMED CT,109171000119104,Retinal edema due to type 1 diabetes mellitus
ICD10CM,O24.03,"Pre-existing type 1 diabetes mellitus, in the puerperium"
SNOMED CT,104961000119108,Ischemia of retina due to type 2 diabetes mellitus
ICD10CM,E10.3523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
SNOMED CT,104941000119109,Ischemia of retina due to type 1 diabetes mellitus
ICD10CM,O24.02,"Pre-existing type 1 diabetes mellitus, in childbirth"
SNOMED CT,102781000119107,Sensory neuropathy due to type 1 diabetes mellitus
ICD10CM,E10.3522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
ICD10CM,O24.019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
ICD10CM,E10.3521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
ICD10CM,O24.013,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester"
ICD10CM,E10.3519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
ICD10CM,O24.012,"Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester"
ICD10CM,E10.3513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
ICD10CM,O24.011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
ICD10CM,E10.3512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
ICD10CM,E13.9,Other specified diabetes mellitus without complications
ICD10CM,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
ICD10CM,E13.8,Other specified diabetes mellitus with unspecified complications
