term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.04329861122002254,0.2801856318513215,-11.205552180472514,3.829582344624606e-29,0.024358019484676356,0.07336880965911852
"ns(age_years, df = 5)1",0.7572588698938545,0.14516896535783017,-1.9153550840664404,0.05544723514255001,0.5708171028198374,1.0086969554999121
"ns(age_years, df = 5)2",2.1970600802364477,0.1656942873472375,4.750436192577282,2.0297833600818422e-6,1.5939983623396055,3.052733133724685
"ns(age_years, df = 5)3",1.8547298419404532,0.12997166255452675,4.75287486167287,2.005444801493161e-6,1.4378966395477315,2.3934561922369877
"ns(age_years, df = 5)4",26.02873727221723,0.3254882843822828,10.013267339362512,1.3327669017728024e-23,13.87849733475812,49.738458051980146
"ns(age_years, df = 5)5",13.293121298405609,0.17662152193017097,14.648535906344518,1.376499153839125e-48,9.410654961369302,18.810264565091817
ckd,2.3602506604688216,0.05846863901408494,14.687665728863674,7.733216636440768e-49,2.1042487193342305,2.6463269982267206
diabetes,1.6639116487599916,0.049355741729366055,10.316352818365596,5.943825600770667e-25,1.5100714998328306,1.8324317551587863
immunocompromised,1.7836419541818158,0.045593793422397375,12.691580854563776,6.584321107610464e-37,1.6308397306566,1.9500048918141821
lung,1.7882709108323018,0.04455196886159771,13.046543087804572,6.649686254440466e-39,1.6383913364022122,1.9510508886285365
raceUnknown,1.1592522326940964,0.07664464251499373,1.9280560965524283,0.053848149050724395,0.9966635753204143,1.346029760964529
raceBlack or African American,1.0788669204557613,0.06437944397407794,1.17912392501917,0.23834883303699672,0.9500781646041351,1.222872018073961
raceAsian,1.068000402223283,0.11597980394379578,0.5672376992754199,0.5705526980983867,0.8465134151624849,1.334316027448448
raceAmerican Indian or Alaska Native,1.724120833695543,0.24556498958175713,2.2182203573224073,0.026539811364807462,1.0436712034972107,2.742930338990987
raceNative Hawaiian or Other Pacific Islander,0.5860612256895024,0.47646590359757834,-1.1214464878379573,0.2620978574792991,0.20131438346435493,1.3545296105137985
ethnicityHispanic or Latino,1.1813028725755863,0.0702266637476382,2.372574030787201,0.01766462279133909,1.028413451274022,1.3543874198248265
ethnicityUnknown,0.5475401938017936,0.14029667607546745,-4.293183726786965,1.761291415970275e-5,0.41257630741790746,0.7156029477901737
sexMale,1.0445742370046986,0.04233079842739427,1.030204373921981,0.30291407692950495,0.9612461999469735,1.1347609206359386
month_year2021-02-01,1.1827000314214355,0.2591436103928142,0.6475173614665813,0.5172971618242055,0.7286055010318137,2.022783889270557
month_year2021-03-01,0.861288630746333,0.25172790683002777,-0.5932024194826756,0.5530456936205755,0.5393009290160907,1.4543762607045185
month_year2021-04-01,0.9125753182029217,0.24974510750824547,-0.36631210656407714,0.7141321967598866,0.5739077835909726,1.5357372437105887
month_year2021-05-01,0.9441195870971113,0.2505504076055025,-0.22950447441948252,0.8184768433489766,0.5927090576631369,1.5910467898780996
month_year2021-06-01,1.1849589274577548,0.2571630984316261,0.6599240507219537,0.5093025693126931,0.7331663557116135,2.01973312199979
month_year2021-07-01,1.0019728823136387,0.262257465535917,0.007515281722020803,0.9940037291883244,0.6130226846818787,1.722825130410174
month_year2021-08-01,1.0208108009259806,0.26320509760155947,0.07825537797147313,0.9376249117813954,0.623229353793938,1.7580465649574315
month_year2021-09-01,1.0055725194095846,0.25490918156038833,0.021800118498589784,0.9826073996620868,0.6252719371317993,1.7073572933458954
month_year2021-10-01,1.2322234595129993,0.2553229414607334,0.8178670782351607,0.41343309069420026,0.7655092196301291,2.0936772378453448
month_year2021-11-01,1.2536364547004275,0.26729128524782947,0.8457009417167585,0.3977195976777058,0.7585445937755309,2.1742781142949754
month_year2021-12-01,1.158607808380513,0.28330530876994015,0.5196482896605817,0.6033087343466006,0.6765478956003541,2.065269961288516
month_year2022-01-01,1.0801086986279094,0.3085456654993403,0.24975778812044216,0.8027746655262327,0.5964004152528527,2.010715979342429
month_year2022-02-01,1.0771503174711796,0.3474154308762261,0.21391956824536063,0.8306097801865187,0.5447398415087858,2.1421058163425766
month_year2022-03-01,1.0285572976719743,0.34922406164315395,0.08062771610114987,0.9357380236966474,0.5191162883274134,2.054713646297566
