term,estimate,std.error,statistic,p.value,conf.low,conf.high
ckd,1.8304878654301189,0.05471265180322913,11.050141137908168,2.188705133314823e-28,1.6443541570368072,2.037691096621779
diabetes,1.6875997840979038,0.027900226971666792,18.75638050776666,1.7170100738402e-78,1.5977938488699015,1.7824533705031091
immunocompromised,1.8146004554772863,0.02454315551166589,24.278268068550666,3.3262631428384136e-130,1.729377656895272,1.9040229876277277
lung,1.9998427773763208,0.022732172914425978,30.4884433515042,3.708242323314222e-204,1.912697072693524,2.090958987348785
"ns(age_years, df = 5)1",0.9109262596311304,0.03607113559465929,-2.586370733352728,0.009699254413979952,0.8487492735054607,0.9776581569942551
"ns(age_years, df = 5)2",0.8165201124100756,0.04491613495887474,-4.5129380476001355,6.393570242955835e-6,0.7477117462537102,0.8916605861959257
"ns(age_years, df = 5)3",0.5099945611239582,0.04898038993872175,-13.747445020872185,5.276005957773669e-43,0.46331179972829545,0.5613810235969569
"ns(age_years, df = 5)4",0.6898498080427117,0.08812065804163795,-4.213329573777792,2.516334724079286e-5,0.5804249968159807,0.8199039673810676
"ns(age_years, df = 5)5",0.5380307267371595,0.08707878430179794,-7.118147233299,1.09387488065724e-12,0.4536129903658685,0.6381586706320598
raceUnknown,0.8682234165153688,0.02412391860134097,-5.857514588647085,4.69845556334822e-9,0.8281274454900731,0.9102607395647
raceBlack or African American,0.9832472662944272,0.02132854136188231,-0.7921145502926368,0.4282938867755131,0.9429916785212895,1.0252213340752587
raceAsian,0.7678767265613706,0.0361860587446502,-7.299111319960259,2.896745859886239e-13,0.7153027188447382,0.8243148693002389
raceAmerican Indian or Alaska Native,1.1019715766198366,0.09329152798590686,1.040833181248516,0.29795297735024034,0.9178263044913701,1.3230622719523795
raceNative Hawaiian or Other Pacific Islander,0.9073231218483349,0.12077610098861194,-0.805263939621021,0.42066738618195393,0.7160727958378139,1.1496530132490415
ethnicityHispanic or Latino,1.300610011983146,0.022535040014158465,11.663320510224835,1.9623725689720746e-31,1.2444149845783725,1.3593426824926378
ethnicityUnknown,0.8092131519168526,0.03602399101162901,-5.876442750764881,4.191762783965488e-9,0.7540484575013259,0.868413586316574
sexMale,0.949897030637696,0.014075575485172612,-3.651835700686883,2.6037245267702123e-4,0.9240498024134517,0.9764672493383534
month_year2021-02-01,0.8983686320991999,0.07636104902908693,-1.4035269659716008,0.16045975655642503,0.7734921966527615,1.0434057416898523
month_year2021-03-01,0.7908598549663783,0.07324591094977441,-3.2033802075018545,0.0013582453355753977,0.685097682365392,0.912949096598836
month_year2021-04-01,0.945294697638606,0.07212437247451353,-0.7800213550579571,0.4353783054742175,0.8206818800784815,1.0888287984355285
month_year2021-05-01,0.8627525654685565,0.07209487571328951,-2.047681502374054,0.04059121748950645,0.74906411128868,0.9936959707521159
month_year2021-06-01,0.9583170705416116,0.07484227097995813,-0.5688841863685553,0.5694347377167309,0.8275673874395393,1.1097242612868805
month_year2021-07-01,2.0577112625250162,0.07611108600470792,9.480804511025068,2.523300489266636e-21,1.772550270079913,2.3887478461930476
month_year2021-08-01,3.2190773950716625,0.07620511823362036,15.341420921977237,4.0424849572881896e-53,2.772461373280939,3.7376388271185887
month_year2021-09-01,3.6974379523410548,0.07351982616735742,17.786224514586163,9.036738248231442e-71,3.2012582096696187,4.270523186826256
month_year2021-10-01,3.581688454243661,0.07411208717768486,17.214929076716135,2.0519896989451043e-66,3.097444147259327,4.141637935461475
month_year2021-11-01,3.315742298285859,0.07878688417199452,15.214226736090065,2.8456185645121067e-52,2.841301052058358,3.8694058768173716
month_year2021-12-01,3.3059644540467255,0.08349126281734559,14.321597338932866,1.6039376256151707e-46,2.806921634884839,3.8937321354427024
month_year2022-01-01,2.5692746476354063,0.09289003420596655,10.158502242597288,3.03705966892366e-24,2.1416198870024767,3.0823267261593217
month_year2022-02-01,2.05981939816121,0.10628828801781806,6.798663537054173,1.0559410314186014e-11,1.6724625007109495,2.53689153044544
month_year2022-03-01,2.728950126602846,0.1117854265587263,8.98074997006779,2.6892733607986956e-19,2.1920157541446894,3.397406601391662
ckd:diabetes,0.6419665564364052,0.07808566277775884,-5.676062079266606,1.3783077649231666e-8,0.5508657451790979,0.7481333940066052
ckd:immunocompromised,0.8633531549919179,0.07787604526694777,-1.8867349165776173,0.059195988832031546,0.7411400295766036,1.0057190820745663
ckd:lung,0.7861985929870212,0.0856093976684704,-2.8098066589018944,0.004957126908835566,0.6647546911953203,0.9298290569462975
diabetes:immunocompromised,0.8583454850631109,0.056330595775086575,-2.711645335821218,0.006695018416083674,0.7686231080043018,0.9585412721212433
diabetes:lung,0.7948350407594891,0.053753336879721,-4.271747487451299,1.9394712153562935e-5,0.7153557653712643,0.8831448247170534
immunocompromised:lung,0.8133522678963764,0.04552361239325773,-4.538105799884046,5.676178231191042e-6,0.7439245875022625,0.8892593722615288
ckd:diabetes:immunocompromised,1.1937431139797576,0.10333515217470443,1.7137812319939314,0.08656891151724104,0.9748815210916438,1.4617392896917256
ckd:diabetes:lung,1.3530271913128884,0.10477619068309901,2.885621667181019,0.003906414379419417,1.101845923768598,1.6614687597796212
ckd:immunocompromised:lung,1.051614709210942,0.10464584393165414,0.4809249879693131,0.630569812494875,0.856607649298173,1.2910152011073956
diabetes:immunocompromised:lung,0.9985230577825864,0.08939722050205615,-0.016533332506022777,0.9868089102240097,0.8380367152823722,1.1897429775347446
